1: (0, 'cycle', 'cycle', 'cycle')
2: (0, 'cycle', 'cycle', 'cycle')
3: (0, 'cycle', 'cycle', 'cycle')
4: (0, 'cycle', 'cycle', 'cycle')
5: (0, 'cycle', 'cycle', 'cycle')
6: (0, 'cycle', 'cycle', 'cycle')
7: (0, 'cycle', 'cycle', 'cycle')
8: (0, 'cycle', 'cycle', 'cycle')
9: (0, 'cycle', 'cycle', 'cycle')
10: (0, 'cycle', 'cycle', 'cycle')
11: (0, 'cycle', 'cycle', 'cycle')
12: (0, 'score_amp', 'cycle', 'cycle')
13: (0, 'cycle', 'cycle', 'cycle')
14: (0, 'cycle', 'cycle', 'cycle')
15: (0, 'cycle', 'cycle', 'cycle')
16: (0, 'cycle', 'cycle', 'cycle')
17: (0, 'cycle', 'cycle', 'cycle')
18: (0, 'cycle', 'cycle', 'score_amp')
19: (0, 'activate_amp', 'cycle', 'cycle')
20: (36, 'cycle', 'score_speaker_amped', 'cycle')
21: (33, 'cycle', 'cycle', 'cycle')
22: (30, 'cycle', 'cycle', 'cycle')
23: (27, 'cycle', 'cycle', 'cycle')
24: (24, 'cycle', 'cycle', 'cycle')
25: (21, 'score_speaker_amped', 'cycle', 'cycle')
26: (18, 'cycle', 'cycle', 'cycle')
27: (15, 'cycle', 'cycle', 'cycle')
28: (12, 'cycle', 'cycle', 'cycle')
29: (9, 'cycle', 'cycle', 'cycle')
30: (6, 'cycle', 'cycle', 'cycle')
31: (3, 'cycle', 'cycle', 'cycle')
32: (0, 'cycle', 'cycle', 'cycle')
33: (0, 'cycle', 'cycle', 'cycle')
34: (0, 'cycle', 'cycle', 'cycle')
35: (0, 'cycle', 'cycle', 'cycle')
36: (0, 'cycle', 'cycle', 'cycle')
37: (0, 'cycle', 'cycle', 'score_amp')
38: (0, 'score_amp', 'activate_amp', 'cycle')
39: (37, 'cycle', 'cycle', 'cycle')
40: (34, 'cycle', 'cycle', 'cycle')
41: (31, 'cycle', 'score_speaker_amped', 'cycle')
42: (28, 'cycle', 'cycle', 'cycle')
43: (25, 'cycle', 'cycle', 'cycle')
44: (22, 'cycle', 'cycle', 'cycle')
45: (19, 'cycle', 'cycle', 'cycle')
46: (16, 'cycle', 'cycle', 'cycle')
47: (13, 'cycle', 'cycle', 'cycle')
48: (10, 'cycle', 'cycle', 'cycle')
49: (7, 'cycle', 'cycle', 'cycle')
50: (4, 'cycle', 'cycle', 'cycle')
51: (1, 'score_speaker_amped', 'cycle', 'cycle')
52: (0, 'cycle', 'cycle', 'cycle')
53: (0, 'cycle', 'cycle', 'cycle')
54: (0, 'cycle', 'cycle', 'cycle')
55: (0, 'cycle', 'cycle', 'cycle')
56: (0, 'cycle', 'cycle', 'score_amp')
57: (0, 'cycle', 'cycle', 'cycle')
58: (0, 'cycle', 'cycle', 'cycle')
59: (0, 'cycle', 'cycle', 'cycle')
60: (0, 'cycle', 'cycle', 'cycle')
61: (0, 'cycle', 'cycle', 'cycle')
62: (0, 'cycle', 'cycle', 'cycle')
63: (0, 'cycle', 'cycle', 'cycle')
64: (0, 'score_amp', 'activate_amp', 'cycle')
65: (37, 'cycle', 'score_speaker_amped', 'cycle')
66: (34, 'cycle', 'cycle', 'cycle')
67: (31, 'cycle', 'cycle', 'cycle')
68: (28, 'cycle', 'cycle', 'cycle')
69: (25, 'cycle', 'cycle', 'cycle')
70: (22, 'cycle', 'cycle', 'cycle')
71: (19, 'cycle', 'cycle', 'cycle')
72: (16, 'cycle', 'cycle', 'cycle')
73: (13, 'cycle', 'cycle', 'cycle')
74: (10, 'cycle', 'cycle', 'cycle')
75: (7, 'cycle', 'cycle', 'score_speaker_amped')
76: (4, 'cycle', 'cycle', 'cycle')
77: (1, 'score_speaker_amped', 'cycle', 'cycle')
78: (0, 'cycle', 'cycle', 'cycle')
79: (0, 'cycle', 'cycle', 'cycle')
