0: (0, 'cycle', 'cycle', 'cycle')
1: (0, 'cycle', 'cycle', 'cycle')
2: (0, 'cycle', 'cycle', 'cycle')
3: (0, 'cycle', 'cycle', 'cycle')
4: (0, 'cycle', 'cycle', 'cycle')
5: (0, 'cycle', 'cycle', 'cycle')
6: (0, 'cycle', 'cycle', 'cycle')
7: (0, 'cycle', 'cycle', 'cycle')
8: (0, 'cycle', 'cycle', 'cycle')
9: (0, 'cycle', 'cycle', 'cycle')
10: (0, 'cycle', 'cycle', 'cycle')
11: (0, 'cycle', 'cycle', 'cycle')
12: (0, 'score_amp', 'cycle', 'cycle')
13: (0, 'cycle', 'cycle', 'cycle')
14: (0, 'cycle', 'cycle', 'cycle')
15: (0, 'cycle', 'cycle', 'cycle')
16: (0, 'cycle', 'cycle', 'cycle')
17: (0, 'cycle', 'cycle', 'cycle')
18: (0, 'cycle', 'cycle', 'score_amp')
19: (0, 'activate_amp', 'cycle', 'cycle')
20: (36, 'cycle', 'score_speaker_amped', 'cycle')
21: (33, 'cycle', 'cycle', 'cycle')
22: (30, 'cycle', 'cycle', 'cycle')
23: (27, 'cycle', 'cycle', 'cycle')
24: (24, 'cycle', 'cycle', 'cycle')
25: (21, 'cycle', 'cycle', 'cycle')
26: (18, 'score_speaker_amped', 'cycle', 'cycle')
27: (15, 'cycle', 'cycle', 'cycle')
28: (12, 'cycle', 'cycle', 'cycle')
29: (9, 'cycle', 'cycle', 'cycle')
30: (6, 'cycle', 'cycle', 'cycle')
31: (3, 'cycle', 'cycle', 'cycle')
32: (0, 'cycle', 'cycle', 'cycle')
33: (0, 'cycle', 'cycle', 'cycle')
34: (0, 'cycle', 'cycle', 'cycle')
35: (0, 'cycle', 'cycle', 'cycle')
36: (0, 'cycle', 'cycle', 'cycle')
37: (0, 'cycle', 'cycle', 'score_amp')
38: (0, 'cycle', 'cycle', 'cycle')
39: (0, 'score_amp', 'activate_amp', 'cycle')
40: (37, 'cycle', 'cycle', 'cycle')
41: (34, 'cycle', 'cycle', 'cycle')
42: (31, 'cycle', 'score_speaker_amped', 'cycle')
43: (28, 'cycle', 'cycle', 'cycle')
44: (25, 'cycle', 'cycle', 'cycle')
45: (22, 'cycle', 'cycle', 'cycle')
46: (19, 'cycle', 'cycle', 'cycle')
47: (16, 'cycle', 'cycle', 'cycle')
48: (13, 'cycle', 'cycle', 'cycle')
49: (10, 'cycle', 'cycle', 'cycle')
50: (7, 'cycle', 'cycle', 'cycle')
51: (4, 'cycle', 'cycle', 'cycle')
52: (1, 'score_speaker_amped', 'cycle', 'cycle')
53: (0, 'cycle', 'cycle', 'cycle')
54: (0, 'cycle', 'cycle', 'cycle')
55: (0, 'cycle', 'cycle', 'cycle')
56: (0, 'cycle', 'cycle', 'score_amp')
57: (0, 'cycle', 'cycle', 'cycle')
58: (0, 'cycle', 'cycle', 'cycle')
59: (0, 'cycle', 'cycle', 'cycle')
60: (0, 'cycle', 'cycle', 'cycle')
61: (0, 'cycle', 'cycle', 'cycle')
62: (0, 'cycle', 'cycle', 'cycle')
63: (0, 'cycle', 'cycle', 'cycle')
64: (0, 'cycle', 'cycle', 'cycle')
65: (0, 'score_amp', 'activate_amp', 'cycle')
66: (37, 'cycle', 'score_speaker_amped', 'cycle')
67: (34, 'cycle', 'cycle', 'cycle')
68: (31, 'cycle', 'cycle', 'cycle')
69: (28, 'cycle', 'cycle', 'cycle')
70: (25, 'cycle', 'cycle', 'cycle')
71: (22, 'cycle', 'cycle', 'cycle')
72: (19, 'cycle', 'cycle', 'cycle')
73: (16, 'cycle', 'cycle', 'cycle')
74: (13, 'cycle', 'cycle', 'cycle')
75: (10, 'cycle', 'cycle', 'score_speaker_amped')
76: (7, 'cycle', 'cycle', 'cycle')
77: (4, 'cycle', 'cycle', 'cycle')
78: (1, 'score_speaker_amped', 'cycle', 'cycle')
79: (0, 'cycle', 'cycle', 'cycle')
80: (0, 'cycle', 'cycle', 'cycle')
81: (0, 'cycle', 'cycle', 'cycle')
82: (0, 'cycle', 'cycle', 'cycle')
83: (0, 'cycle', 'cycle', 'cycle')
84: (0, 'cycle', 'cycle', 'cycle')
85: (0, 'cycle', 'cycle', 'cycle')
86: (0, 'cycle', 'cycle', 'cycle')
87: (0, 'cycle', 'score_speaker', 'cycle')
88: (0, 'cycle', 'cycle', 'cycle')
89: (0, 'cycle', 'cycle', 'cycle')
90: (0, 'cycle', 'cycle', 'cycle')
91: (0, 'score_amp', 'cycle', 'cycle')
92: (0, 'cycle', 'cycle', 'cycle')
93: (0, 'cycle', 'cycle', 'cycle')
94: (0, 'cycle', 'cycle', 'score_speaker')
95: (0, 'cycle', 'cycle', 'cycle')
96: (0, 'cycle', 'cycle', 'cycle')
97: (0, 'cycle', 'cycle', 'cycle')
98: (0, 'cycle', 'cycle', 'cycle')
99: (0, 'cycle', 'cycle', 'cycle')
100: (0, 'cycle', 'cycle', 'cycle')
101: (0, 'cycle', 'cycle', 'cycle')
102: (0, 'cycle', 'cycle', 'cycle')
103: (0, 'cycle', 'cycle', 'cycle')
104: (0, 'score_amp', 'cycle', 'cycle')
105: (0, 'cycle', 'cycle', 'cycle')
106: (0, 'cycle', 'cycle', 'cycle')
107: (0, 'cycle', 'cycle', 'cycle')
108: (0, 'cycle', 'cycle', 'cycle')
109: (0, 'cycle', 'cycle', 'cycle')
110: (0, 'cycle', 'cycle', 'cycle')
111: (0, 'cycle', 'cycle', 'cycle')
112: (0, 'cycle', 'cycle', 'cycle')
113: (0, 'cycle', 'cycle', 'cycle')
114: (0, 'cycle', 'cycle', 'cycle')
115: (0, 'cycle', 'cycle', 'cycle')
116: (0, 'cycle', 'cycle', 'cycle')
117: (0, 'cycle', 'cycle', 'cycle')
118: (0, 'cycle', 'cycle', 'cycle')
119: (0, 'cycle', 'score_speaker', 'score_speaker')
